scid,context,doc_name,doc_context,rcid
23,"（1）通过支付融资系统管理端的【系统管理】→【合作方配置管理】→【合作方信息维护】菜单，对新增的88家合作方进行维护，发送BEAI进行注册，用于申请对账文件；",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""1.2.2本细则所称问题管理是指通过标准化、规范化的流程对问题进行识别、分派、处理及跟踪等过程，主要包括问题分类与分级、问题来源、问题处理、问题解决时限和问题统计等。",3072
23,"（1）通过支付融资系统管理端的【系统管理】→【合作方配置管理】→【合作方信息维护】菜单，对新增的88家合作方进行维护，发送BEAI进行注册，用于申请对账文件；",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""1.2.3本细则所称重要信息系统是指支撑重要业务，其信息安全和服务质量关系公民、法人和其他组织的权益，或关系社会秩序、公共利益乃至国家安全的信息系统，主要包括面向客户、涉及账务处理且实时性要求较高的业务处理类、渠道类和涉及客户风险管理等业务的管理类信息系统，以及支撑系统运行的机房和网络等基础设施。",3073
23,"（1）通过支付融资系统管理端的【系统管理】→【合作方配置管理】→【合作方信息维护】菜单，对新增的88家合作方进行维护，发送BEAI进行注册，用于申请对账文件；",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""1.3 本细则问题管理的范围主要包括影响或可能影响生产系统、灾备系统正常运行的信息技术问题和对现有功能的优化。与信息系统相关的咨询或服务请求等按事件管理流程处理，不在本细则管理范围内。",3074
23,"（1）通过支付融资系统管理端的【系统管理】→【合作方配置管理】→【合作方信息维护】菜单，对新增的88家合作方进行维护，发送BEAI进行注册，用于申请对账文件；",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""总、分行信息系统的用户和维护人员均可作为问题提出人，负责按照问题管理流程提出问题，并按照要求及时验证、关闭问题等。",3079
23,"（1）通过支付融资系统管理端的【系统管理】→【合作方配置管理】→【合作方信息维护】菜单，对新增的88家合作方进行维护，发送BEAI进行注册，用于申请对账文件；",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""分行应至少设置一名问题经理，由会计部门作业支持人员或信息技术部门相关人员担任，负责对问题提出的正确性与合理性进行审核，并将问题分派到相应的主责人，监控问题解决进度，督促问题主责人按计划在规定时限内完成问题的解决；定期对问题管理进行总结；组织召开与问题管理相关的会议等。",3098
23,"（1）通过支付融资系统管理端的【系统管理】→【合作方配置管理】→【合作方信息维护】菜单，对新增的88家合作方进行维护，发送BEAI进行注册，用于申请对账文件；",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""关于印发《华夏银行信息系统问题管理",3051
23,"（1）通过支付融资系统管理端的【系统管理】→【合作方配置管理】→【合作方信息维护】菜单，对新增的88家合作方进行维护，发送BEAI进行注册，用于申请对账文件；",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""为加强我行信息系统问题管理，规范问题处理流程，总行对《华夏银行信息系统问题管理实施细则》（华银制〔2013〕275号）进行了修订，主要修订内容如下：",3055
23,"（1）通过支付融资系统管理端的【系统管理】→【合作方配置管理】→【合作方信息维护】菜单，对新增的88家合作方进行维护，发送BEAI进行注册，用于申请对账文件；",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""八款了gai现将修订后的《华夏银行信息系统问题管理实施细则》印发给你们，请认真学习，遵照执行。",3061
23,"（1）通过支付融资系统管理端的【系统管理】→【合作方配置管理】→【合作方信息维护】菜单，对新增的88家合作方进行维护，发送BEAI进行注册，用于申请对账文件；",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""1.1 为加强我行信息系统问题管理，规范问题处理流程，及时有效地处理信息系统运行中发现的各类问题，确保系统平稳运行，根据《商业银行数据中心监管指引》、《华夏银行信息系统运行管理办法》等监管规章和制度，制定本细则。",3069
23,"（1）通过支付融资系统管理端的【系统管理】→【合作方配置管理】→【合作方信息维护】菜单，对新增的88家合作方进行维护，发送BEAI进行注册，用于申请对账文件；",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""华夏银行信息系统问题管理实施细则",3066
