scid,context,doc_name,doc_context,rcid,similarity
6,"以修改后的新口令登陆系统，看是否可以正常登入。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""    按照变更内容，常规变更分为应用系统版本变更、非应用系统版本变更及生产数据非计划性修改等。"",2805,0.20689655172413793
6,"以修改后的新口令登陆系统，看是否可以正常登入。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""常规变更按照变更内容分为应用系统版本变更、非应用系统版本变更及生产数据非计划性修改等。"",2895,0.20689655172413793
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""8.4.9总行及已部署数据库操作和运维操作审计系统的分行应通过数据库操作和运维操作审计系统进行生产数据非计划性修改，不得直接登录系统后台进行操作。"",1639,0.13043478260869565
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""8.4.6修改数据操作所用终端不得同时登陆到多个系统打开多个窗口。"",1636,0.23076923076923078
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（2）分行（含二级分行）申请对总行管理的系统进行生产数据非计划性修改，由支行分管副行长（业务范围如不涉及此项可缺省）、分行业务部门负责人、分行信息技术部门负责人、分行业务分管行领导审批，并连同相关材料提交总行业务部门，经总行业务部门分管领导审批同意后，提交总行信息技术部门。"",1620,0.07792207792207792
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（2）生产数据非计划性修改如涉及以下特殊情况，对总行管理的系统进行生产数据非计划性修改，由总行经办业务部门起草签报，会签内控合规部门、操作风险管理部门，对数据修改的合规性进行审核，报分管行领导审批通过后，作为数据修改申请的附件提交总行信息技术部门负责生产运行的室。对分行管理的系统进行生产数据非计划性修改，由分行经办业务部门起草签报，会签分行内控合规部门，对数据修改的合规性进行审核，报分管行领导审批通过后，作为数据修改申请的附件提交分行信息技术部门。签报至少包括修改原因、修改内容及外部影响等详细内容。"",1613,0.0425531914893617
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""8.4.2修改生产数据的脚本、修改计划和应急预案经信息技术部门分管生产运行的负责人和科技开发部门分管系统应用维护的负责人（总行实施时）或分行信息技术部门负责人（分行实施时）审批后方能实施数据修改。总行科技开发部门负责系统应用维护的室技术方案制定人员对修改生产数据脚本、过程、应急预案的正确性负责；总行科技开发部门负责信息系统应用维护的室技术实施人员对操作的正确性负责。分行信息技术部门负责人对修改生产数据脚本、过程、应急预案的正确性、操作的正确性负责。"",1632,0.05
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（1）总行端数据修改技术方案由科技开发部门负责系统应用维护的室负责人、部门分管负责人，信息技术部门负责科技安全的室负责人等进行审核。审核通过后提交信息技术部门负责生产运行的室负责人审核，通过后若准生产环境具备验证条件的，应在准生产环境中运行修改脚本进行验证，并由申请人员验证修改的正确性，验证通过后，由负责生产运行的室负责人审核测试结果，并提交信息技术部门分管生产运行的负责人审批；如无法进行验证操作，应在审核流程中说明，并制定相应的应急预案后提交信息技术部门分管生产运行的负责人审批。"",1628,0.043795620437956206
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""8.1.1正常情况下生产系统数据只允许经过规定的授权后，通过应用系统菜单进行修改。"",1606,0.26666666666666666
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（3）生产数据移交应通过受控网络（不得通过办公自动化系统）或受控传输介质，通过受控网络传输不得在生产高峰期进行，通过受控介质传输，应由我行两人或两人以上使用受控介质传输，禁止在无我行两人或两人以上监督的情况下通过第三方（如快递等）进行传输。特殊情况需要其他方式传递的，需在《华夏银行生产数据交接登记表》中说明，并经生产数据管理部门负责人授权。"",1582,0.061224489795918366
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""应用系统版本变更方案须经分行信息技术部门负责人审批通过后，变更实施人方可按照变更方案进行实施。"",2897,0.17647058823529413
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（2）对于系统定期重启、定期日志清理等对日期有特殊要求的标准变更，以及监管、外部单位对日期有特殊要求的常规变更，经生产调度会评估通过后可按照系统的特定要求确定变更时间窗口。其他对变更时间有特殊要求的变更，经生产调度会评估，可按评估确定的时间执行。"",2870,0.08
2,"/ITILHome.aspx”，通过该系统先后登陆支票影像、验印、事后监督系统（administrator用户），修改口令（新口令必须包含大小写字母及数字），修改完毕以新口令重新登陆各系统，保证可以以新口令顺利登陆系统。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""对于预计影响日结批处理时间超过60分钟或重要信息系统对外服务时段业务中断超过10分钟的变更，分管变更方案制定室、变更实施室的部门负责人及该系统风险总包负责人须参加生产调度会；生产调度会评估通过后，还须经科技开发部门负责人、信息技术部门负责人和首席信息官审核确认。"",2849,0.08
