scid,context,doc_name,doc_context,rcid,similarity
8,"整个过程用华夏银行提供的正规光盘安装，不能使用非华夏银行提供的任何第三方工具或者其他载体安装，避免设备感染病毒。",华银制〔2014〕314号__华夏银行信息系统事件管理实施细则.doc,""服务台受理事件后应第一时间进行分析，对无法处置的事件及时分派给二线支持人员处置，二线支持人员值班时间接到B级普通及以上事件报告后，工作时间应于5分钟内到达现场，非工作时间应于15分钟内到达现场；非值班时间接到B级普通及以上事件报告后，工作时间应于5分钟内到达现场或安排有处置能力的人5分钟内到达现场，非工作时间应从所在地乘坐最快交通工具到达现场。事件处置过程中，两次及以上电话无法联系相关人员时，直接向其上级报告。"",3360,0.047619047619047616
180,"ATM系统相关参数配置：（以下画面中括号内文字均为说明文字，并非屏幕显示文字）",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""4.6.8 变更实施完成并验证后，由变更操作人将配置项的变更结果通知相应的配置管理员，变更申请人关闭变更；配置管理员按照配置管理的相关规定执行。"",2882,0.13636363636363635
24,"3.	安装应用软件	14",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""通过备份软件集中存储的系统级备份，由信息技术部门负责系统管理的室根据需要在主机更换、系统升级、灾备部署时进行恢复验证测试。采用安装介质刻盘或磁盘克隆的系统级备份无需进行恢复验证测试。"",1503,0.11538461538461539
180,"ATM系统相关参数配置：（以下画面中括号内文字均为说明文字，并非屏幕显示文字）",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（1）对于必须在日终批处理期间某个固定环节进行的变更，变更申请人应在生产调度会上说明，在不影响日终批处理总体时间进度的前提下可按申请时间执行。对于集群部署的系统，备用集群变更时间以生产调度会确定的时间为准。"",2869,0.09375
180,"ATM系统相关参数配置：（以下画面中括号内文字均为说明文字，并非屏幕显示文字）",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（1）灾备环境应用系统版本变更、系统配置变更不需再进行单独审批，由负责生产环境变更实施的室负责实施，双活模式应用系统的变更应同步实施，非双活模式应用系统同城灾备环境的变更原则上安排在生产变更后的第一个周三，异地灾备环境变更原则上安排在每季度第一个月的第二周。灾备环境变更实施前，如生产环境需向灾备环境切换，切换前负责生产环境变更实施的室需进行追加变更。"",2853,0.05660377358490566
24,"3.	安装应用软件	14",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""5.1.4生产数据管理部门应妥善保管载有在本地前后台计算机系统内安装的全部操作系统软件（含操作系统补丁程序）、数据库、通讯软件、开发工具软件、应用软件及应用软件和数据库的环境参数（库表）等软件和数据的光盘、磁带、软盘等介质。应用软件和银行业务信息属机密档案，应严格采取保密措施存放，并建立登记簿详细记录各介质出入库情况。"",1520,0.10126582278481013
180,"ATM系统相关参数配置：（以下画面中括号内文字均为说明文字，并非屏幕显示文字）",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""生产调度会由信息技术部门数据中心负责人或以上人员主持，参会人员包括信息科技部门负责科技安全、生产运行、系统管理、应急与灾备、网络管理、项目管理、质量与版本管理、测试、变更方案制定室、变更实施室负责人或指定代理人（指定代理人需熟悉本室业务）以及其它与生产调度管理相关的人员。通过参数设置界面实现的核心系统控制参数变更，参数设置方案制定室和实施室负责人或指定代理人须参会。"",2845,0.06060606060606061
180,"ATM系统相关参数配置：（以下画面中括号内文字均为说明文字，并非屏幕显示文字）",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""生产调度会原则上每周召开一次，讨论本周变更安排。评估范围原则上包括标准变更和解决P3级（含）以上生产问题或由网络、系统、安全等运维人员主动发起，为解决系统潜在风险进行的常规变更。如果变更不属于标准变更，且不属于解决P3级及以上生产问题的常规变更，变更方案制订人，分管变更方案制定、变更实施的部门负责人及该系统风险总包负责人应参加生产调度会。如参会人员缺席，则与该缺席人员相关的变更不在当周的调度会上讨论，不安排当周实施变更。"",2846,0.04918032786885246
92,"对于德利多富的设备，在安装SP时一定要保证钞箱全部插满，否则会出现钞箱UnitID重复的情况，会导致获取设备状态情况时报错，后台监控端无法看到状态的情况发生。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""对于通过自动同步方式变更的灾备环境变更，变更实施完成后不再进行后评价，灾备环境沿用生产环境变更后评价结果；对于灾备环境独立进行的变更，由负责应急与灾备管理的室对变更执行情况、变更实施后的运行情况进行记录和后评价，后评价内容应包括因变更引起的问题数量、问题发生的原因，整改措施、责任人及完成时限等。"",2859,0.06818181818181818
169,"蓝色箱子只能是存款钞箱，不需要存款箱则把蓝色钞箱取走。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""7.1.2申请下载的生产数据中涉及中级安全等级数据或高级安全等级数据字段时，生产数据使用部门申请时应对这些字段提出脱敏需求，其中高级安全等级数据必须进行脱敏操作，中级安全等级数据如涉及敏感数据且因实际需要不能脱敏的，申请时需注明原因。"",1534,0.08695652173913043
