scid,context,doc_name,doc_context,rcid,similarity
24,"登陆生产工作主机使用命令",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""标准变更实行准入准出机制。针对日常操作中经常出现，变更方案成熟，技术风险和业务风险均可控的常规变更（如网络端口配置、增加操作系统级用户等，但应用系统版本变更除外），可纳入标准变更管理。受理此类变更的室可向生产调度会提交经室负责人审核的《华夏银行信息系统标准变更申请表》（模板参见附件1），对标准变更申请进行评估，评估通过的申请列入标准变更列表，后续同类变更可按照标准变更流程执行。"",2823,0.061855670103092786
15,"    厂商提供的冷备机加点上线，与线上主机（已返厂检修送回设备）形成热备。",华银制〔2014〕197号__华夏银行信息系统设备管理办法.doc,""第二条 本办法所称设备主要包括计算机主机、外围设备、基础设施设备、网络设备和安全设备等类型。"",39,0.1875
24,"登陆生产工作主机使用命令",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""因特殊情况（如生产系统故障、告警等）确需进行紧急变更的，可采用电话授权或临时召开评审会的方式进行紧急审批；如紧急变更涉及应用程序补丁发布，在紧急上版前必须依据我行生产系统版本发布的有关要求完成审批；其他紧急变更必须在紧急变更实施后一个工作日内补办审批手续。紧急变更审批要求如下："",2838,0.1
24,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""生产数据恢复验证测试分为系统级恢复验证测试、业务数据恢复验证测试和应用程序恢复验证测试。"",1501,0.21428571428571427
24,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""6.1需加密的生产数据，由业务部门和科技开发部门共同提出需求，科技开发部门采用国家密码管理机构批准的加密产品、业界通用的加密算法实施，生产数据管理部门按照有关法律、法规和我行有关规定严格管理，防止生产数据被非法使用、窃取、篡改和破坏。"",1529,0.12903225806451613
24,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""5.2.2生产数据使用部门对生产数据存储介质销毁过程中的安全保密工作负责。"",1524,0.25
24,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""5.1.4生产数据管理部门应妥善保管载有在本地前后台计算机系统内安装的全部操作系统软件（含操作系统补丁程序）、数据库、通讯软件、开发工具软件、应用软件及应用软件和数据库的环境参数（库表）等软件和数据的光盘、磁带、软盘等介质。应用软件和银行业务信息属机密档案，应严格采取保密措施存放，并建立登记簿详细记录各介质出入库情况。"",1520,0.09876543209876543
24,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（5）总行业务部门负责人审核分行本专业条线生产数据使用部门提交的数据下载申请和脱敏需求的合规性、合法性。审核通过后，提交总行信息技术部门负责生产运行的室。"",1557,0.13636363636363635
24,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（4）二级分行申请下载生产数据的，二级分行生产数据使用部门及分管行领导审核完成后，需提交一级分行相应业务部门、信息技术部门负责人及业务部门分管行领导审核。"",1555,0.13333333333333333
24,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""7.4.1信息技术部门负责生产运行的室应建立生产数据下载台账，科技开发部门负责系统应用维护的室要严格按照技术方案实施生产数据下载，下载方案实施人员、复核人员和生产数据使用人员应对已下载生产数据与申请数据的一致性负责，已下载生产数据进行压缩加密，加密规则要求最低不少于6位的数字、字母和特殊字符组成，并将已压缩的数据放置在移交专用机器上，删除操作机器上的临时数据。分行申请下载的数据，由科技开发部门负责系统应用维护的室实施下载，信息技术部门负责生产运行的室通过指定的移交专用机器发送给分行信息技术部门，由分行信息技术部门负责后续移交。"",1566,0.0410958904109589
