scid,context,doc_name,doc_context,rcid,similarity
3,"在保证业务不受影响前提下，对现在工作备机停机下线，返厂检修。",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""总行信息科技部门负责项目管理和需求分析的室协助问题经理做好问题管理工作，负责项目管理的室负责跟踪生产问题处理进度，重点检查超期问题；负责需求分析的室负责对需总行业务部门确认或提出需求的问题，协调相关部门明确最终处理意见。"",3084,0.08823529411764706
21,"  完成厂商提供的冷备机上线后，查看主备机工作状态",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""因特殊情况（如生产系统故障、告警等）确需进行紧急变更的，可采用电话授权或临时召开评审会的方式进行紧急审批；如紧急变更涉及应用程序补丁发布，在紧急上版前必须依据我行应用系统版本发布的有关要求完成审批；其他紧急变更必须在紧急变更实施后一个工作日内补办审批手续。紧急变更需由分行信息技术部门负责人审批同意后方可实施。"",2907,0.06593406593406594
2,"原工作机发生重启情况，工作方式变为备份状态，需对设备进行返厂检修。",华银制〔2014〕332号__华夏银行分行信息系统业务操作与信息科技管理评价办法.doc,""（三）分行根据本行工作情况，对于获得监管部门、上级管理部门的表彰与奖励以及突出贡献的事项向总行信息技术部门提出加分申请，总行信息技术部门负责制度管理的室根据分行上报的事项，提交总行信息技术部门、科技开发部门相关专业管理室提出加分意见，经复核确认后进行加分记录。"",3513,0.07792207792207792
2,"原工作机发生重启情况，工作方式变为备份状态，需对设备进行返厂检修。",华银制〔2014〕332号__华夏银行分行信息系统业务操作与信息科技管理评价办法.doc,""（二）加分和减分。根据分行信息系统业务操作与信息科技管理活动开展情况，在评价期内，对各评价项的重点评价内容，实行加、减分处理。"",3505,0.13953488372093023
16,"恢复生产环境中 工作备机配置，然后上线后恢复与现在工作主机 热备环境。",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""总行信息科技部门负责项目管理和需求分析的室协助问题经理做好问题管理工作，负责项目管理的室负责跟踪生产问题处理进度，重点检查超期问题；负责需求分析的室负责对需总行业务部门确认或提出需求的问题，协调相关部门明确最终处理意见。"",3084,0.08823529411764706
19,"工作主机不涉及操作，生产环境部不受影响。",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""总行信息科技部门负责项目管理和需求分析的室协助问题经理做好问题管理工作，负责项目管理的室负责跟踪生产问题处理进度，重点检查超期问题；负责需求分析的室负责对需总行业务部门确认或提出需求的问题，协调相关部门明确最终处理意见。"",3084,0.09230769230769231
19,"工作主机不涉及操作，生产环境部不受影响。",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""1.2.3本细则所称重要信息系统是指支撑重要业务，其信息安全和服务质量关系公民、法人和其他组织的权益，或关系社会秩序、公共利益乃至国家安全的信息系统，主要包括面向客户、涉及账务处理且实时性要求较高的业务处理类、渠道类和涉及客户风险管理等业务的管理类信息系统，以及支撑系统运行的机房和网络等基础设施。"",3073,0.06976744186046512
2,"原工作机发生重启情况，工作方式变为备份状态，需对设备进行返厂检修。",华银制〔2014〕332号__华夏银行分行信息系统业务操作与信息科技管理评价办法.doc,""（七）信息科技综合管理，重点包括受到监管部门及上级管理部门表彰与奖励、信息科技事件处置与上报、问题整改及落实情况、科技引领与支持全行性工作、信息科技执行力等内容。"",3489,0.12244897959183673
2,"原工作机发生重启情况，工作方式变为备份状态，需对设备进行返厂检修。",华银制〔2014〕332号__华夏银行分行信息系统业务操作与信息科技管理评价办法.doc,""（六）组织管理，重点包括信息科技管理委员会工作情况、人员与岗位、培训与考试和外包管理等内容。"",3488,0.1935483870967742
2,"原工作机发生重启情况，工作方式变为备份状态，需对设备进行返厂检修。",华银制〔2014〕332号__华夏银行分行信息系统业务操作与信息科技管理评价办法.doc,""第三条 本办法所称信息系统业务操作与信息科技管理评价，是对分行信息科技基础设施管理、系统运维管理、信息系统业务操作管理、信息安全管理、项目管理、组织管理、信息科技综合管理等方面进行的全面评价。通过设立评价指标，客观、真实地反映分行信息科技管理现状，对分行信息科技管理做出分类评价。"",3477,0.07692307692307693
2,"原工作机发生重启情况，工作方式变为备份状态，需对设备进行返厂检修。",华银制〔2014〕332号__华夏银行分行信息系统业务操作与信息科技管理评价办法.doc,""第一条 为规范分行信息系统业务操作与信息科技管理评价工作，综合反映分行信息系统业务操作与信息科技管理工作质量，促进分行信息科技风险管理能力提升，制定本办法。"",3475,0.125
2,"原工作机发生重启情况，工作方式变为备份状态，需对设备进行返厂检修。",华银制〔2014〕332号__华夏银行分行信息系统业务操作与信息科技管理评价办法.doc,""为加强华夏银行分行信息系统业务操作与信息科技管理评价工作，总行对《华夏银行分行信息系统业务操作与信息科技管理评价办法》（华银制〔2013〕285号）进行了修订，主要修订内容如下："",3455,0.125
4,"实施步骤：  ",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（1）应用系统版本发布应按照我行信息科技应用系统生产版本发布的有关规定执行。提交版本发布的变更方案应包括但不限于以下内容：变更计划开始时间和结束时间，实施步骤、操作分时计划（含变更中各单位需要配合和确认的工作）、变更回退方案（含回退时间点和完成回退的时间）、变更风险评估、变更影响范围、是否会引起服务中断及服务中断时间、工作量估算、变更应急预案、变更前的备份、测试报告、验证方案等。如变更系统包含多个节点，变更方案要包括每个节点的操作。对于有同城、异地灾备部署的系统，变更方案要包括同城、异地灾备环境的变更操作。方案制定人对变更方案的正确性和完整性负责。"",2808,0.0410958904109589
3,"在保证业务不受影响前提下，对现在工作备机停机下线，返厂检修。",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""6.3.1 总行问题主责人负责制定问题解决方案，经所在室负责人审核同意后，在规定时限内牵头解决问题，问题解决方案包括但不限于以下内容：问题解决步骤及分时计划，问题解决人员及分工，问题解决过程对业务及系统的影响评估等。问题在未得到彻底解决前，不允许进行流转与退回。"",3140,0.07692307692307693
3,"在保证业务不受影响前提下，对现在工作备机停机下线，返厂检修。",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""5.2 技术和业务人员在系统使用、配置、维护及监控过程中发现的，如不解决可能会影响系统正常运行的情况应提出问题。"",3119,0.15
3,"在保证业务不受影响前提下，对现在工作备机停机下线，返厂检修。",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""（1）经所在室负责人审核同意，问题提出人向总行问题经理提交问题单。问题单包括但不限于以下内容：发生问题的系统名称、发生时间、现象描述、业务影响范围和影响程度、问题提出人、所在部门及联系方式等。"",3123,0.1
21,"  完成厂商提供的冷备机上线后，查看主备机工作状态",华银制〔2014〕197号__华夏银行信息系统设备管理办法.doc,""到货验收设备开箱由供货商执行，到货验收工作组按照合同要求对设备的包装、外观、规格、数量进行检查；如在开箱检验中发现所交付的设备有短缺、损坏、不合格等与合同规定不符合的情况，供货商需按照合同在规定的时间内予以更换。"",62,0.08823529411764706
6,"登陆工作主机 使用命令vpn tunnel show 记录隧道状态",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""8.1.2生产数据非计划性修改由业务部门牵头组织，负责制定业务方案、参与技术方案的评审以及准生产环境中的测试，组织生产数据非计划性修改的实施，对数据修改的业务合规性、合法性、正确性，以及修改后的业务验证和应急业务处理负责；总行科技开发部门负责系统应用维护的室（分行信息技术部门）负责制定技术方案（包含数据修改操作步骤、应急回退操作步骤等），组织技术方案评审、修改前数据备份、依据技术方案实施数据修改操作和操作过程中的复核工作，对数据修改的可行性、操作正确性，以及修改后的技术验证和应急技术处理负责；信息技术部门负责生产运行的人员负责对数据修改进行统计。"",1607,0.041666666666666664
21,"  完成厂商提供的冷备机上线后，查看主备机工作状态",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""4.6.6重大变更、常规变更和标准变更实施人进入机房或操作间实施变更时，要按照出入机房、操作间要求提出申请，经批准后方可在机房或操作间实施变更，在提交进出机房、操作间申请时，需填写已经批准并计划执行的变更号，变更完成后需将变更完成情况告知值班人员，并在一个工作日内完成变更流程的确认。变更实施时如需使用操作系统用户口令，还应按照我行用户口令管理的相关要求进行申请及使用。"",2880,0.056074766355140186
6,"登陆工作主机 使用命令vpn tunnel show 记录隧道状态",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""7.9.1已下载生产数据使用期限到期后，数据使用部门负责及时销毁，包括各种形式存在的数据（如复制品、备份文件、压缩包文件、解压文件、导入数据库中的数据等），并对销毁过程中的安全保密工作负责。如因特殊情况需要，已下载生产数据需申请延长期限保存的，需由生产数据使用部门分管行领导审批。"",1600,0.0759493670886076
6,"登陆工作主机 使用命令vpn tunnel show 记录隧道状态",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""因特殊情况（如生产系统故障、告警等）确需进行紧急变更的，可采用电话授权或临时召开评审会的方式进行紧急审批；如紧急变更涉及应用程序补丁发布，在紧急上版前必须依据我行应用系统版本发布的有关要求完成审批；其他紧急变更必须在紧急变更实施后一个工作日内补办审批手续。紧急变更需由分行信息技术部门负责人审批同意后方可实施。"",2907,0.08888888888888889
21,"  完成厂商提供的冷备机上线后，查看主备机工作状态",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（3）方案制定人负责组织制定变更方案，变更方案应包括变更计划开始时间和结束时间，实施步骤、操作分时计划（含变更中相关单位需要配合和确认的工作）、变更回退方案（含回退时间点和完成回退的时间）、变更风险评估、变更影响范围、是否会引起服务中断及服务中断时间、工作量估算、变更应急预案、变更前备份、验证方案等，与业务相关的变更还需提交测试报告。如变更系统包含多个节点，变更方案要包括每个节点的操作。对于有同城、异地灾备部署的系统，变更方案要包括同城、异地灾备环境的变更操作。方案制定人对变更方案的正确性和完整性负责。"",2814,0.04285714285714286
21,"  完成厂商提供的冷备机上线后，查看主备机工作状态",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""因特殊情况（如生产系统故障、告警等）确需进行紧急变更的，可采用电话授权或临时召开评审会的方式进行紧急审批；如紧急变更涉及应用程序补丁发布，在紧急上版前必须依据我行生产系统版本发布的有关要求完成审批；其他紧急变更必须在紧急变更实施后一个工作日内补办审批手续。紧急变更审批要求如下："",2838,0.07228915662650602
19,"工作主机不涉及操作，生产环境部不受影响。",华银制〔2014〕314号__华夏银行信息系统事件管理实施细则.doc,""1.2.1本细则所称事件是指由于各类故障、告警、违规操作、病毒爆发、自然灾害等导致或可能导致我行信息系统在生产运行期间出现服务中断、服务异常等影响对外提供服务的事件，以及与之相关服务请求的总称。"",3264,0.10909090909090909
19,"工作主机不涉及操作，生产环境部不受影响。",华银制〔2014〕314号__华夏银行信息系统事件管理实施细则.doc,""1.2.5本细则所称重要信息系统是指支撑重要业务，其信息安全和服务质量关系公民、法人和其他组织的权益，或关系社会秩序、公共利益乃至国家安全的信息系统，主要包括面向客户、涉及账务处理且实时性要求较高的业务处理类、渠道类和涉及客户风险管理等业务的管理类信息系统，以及支撑系统运行的机房和网络等基础设施。"",3268,0.06976744186046512
6,"登陆工作主机 使用命令vpn tunnel show 记录隧道状态",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""因特殊情况（如生产系统故障、告警等）确需进行紧急变更的，可采用电话授权或临时召开评审会的方式进行紧急审批；如紧急变更涉及应用程序补丁发布，在紧急上版前必须依据我行生产系统版本发布的有关要求完成审批；其他紧急变更必须在紧急变更实施后一个工作日内补办审批手续。紧急变更审批要求如下："",2838,0.0975609756097561
22,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""生产数据备份分为系统级备份、业务数据备份与应用程序备份。系统级备份是指生产系统所使用的操作系统、数据库、中间件等基础软件的备份；业务数据备份是指生产系统所产生的数据文件、数据记录以及数据库归档日志等数据的备份；应用程序备份是指应用程序相关程序代码以及配置文件的备份。"",1485,0.10666666666666667
22,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（5）支持集中备份信息系统的业务数据备份，由信息技术部门负责系统管理的室负责实施；由于基础软件、产品自身限制等原因不支持集中备份的信息系统，由科技开发部门负责系统应用维护的室负责实施。没有业务数据的系统，如视频会议系统、桌面管控管理系统等，无需进行业务数据备份。存放客户或银行内部账务数据的系统，包含总账系统以及向总账系统提供账务数据的系统，年末生产数据备份实行双份备份，一份本地保存，另一份同城异地保存，保存期限为永久保存。"",1493,0.05217391304347826
3,"在保证业务不受影响前提下，对现在工作备机停机下线，返厂检修。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""8.4.5修改操作要严格按照技术方案实施，双人进行，一人操作，一人复核。业务人员做好数据修改后的验证准备工作，非现场技术和业务支持人员要保持通讯畅通。"",1635,0.125
3,"在保证业务不受影响前提下，对现在工作备机停机下线，返厂检修。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""8.4.11业务部门在验证生产数据修改结果时发现错误的，需立即组织召集方案制定与修改实施的相关人员讨论并进行应急处理，同时针对数据修改后至发现错误期间造成的影响及时组织有关人员进行分析、评估和处置。"",1641,0.09836065573770492
22,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""生产数据管理相关部门分别为生产数据管理部门、生产数据使用部门、生产数据监督部门以及总行业务部门。"",1463,0.20689655172413793
22,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（1）信息技术部门负责制定数据备份与恢复验证测试要求；负责集中备份与恢复验证测试环境建设；负责集中备份软件部署、生产数据集中备份及集中备份作业执行结果检查，存储介质管理、备份数据恢复技术验证测试等工作；负责采取必要的安全措施，确保数据传输安全；负责分析生产数据下载、非计划性修改等对生产运行的影响。"",1466,0.0759493670886076
22,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""负责对与本部门相关的生产数据提出加密、备份需求；审核与本条线相关生产数据下载、非计划性修改等使用申请及业务方案的合法性和合规性；组织备份数据恢复业务验证测试等工作。"",1474,0.16
22,"登陆生产工作主机使用命令",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""负责提出生产数据下载、非计划性修改等生产数据使用申请，制定并验证生产数据使用申请的业务方案；负责生产数据传输交接后的存储、保密和销毁，确保使用安全。"",1470,0.13953488372093023
